CODIGO_CLIENTE,FLAG_ATRASO
10001336,0
10002200,0
10002278,0
10003940,1
10004319,1
10010009,0
10012206,0
10012567,1
10015116,0
10016619,0
10017003,0
10018751,1
10019430,0
10020047,0
10020845,0
10021752,1
10025103,1
10026223,1
10029460,1
10029893,1
10030271,0
10031251,0
10031944,1
10032878,0
10036709,0
10036750,1
10038434,0
10038507,1
10039678,0
10039686,0
10041621,0
10043012,1
10045406,1
10048502,1
10052615,0
10052747,1
10058842,1
10060111,1
10062653,1
10065709,0
10065806,1
10070567,1
10070648,1
10074503,0
10074554,1
10074872,0
10075429,1
10080716,1
10080732,0
10081500,1
10081593,0
10082085,1
1008255,0
10084827,1
10086226,1
10086285,1
10086811,1
10089659,0
10090134,1
10090371,1
10090401,1
10092960,1
1009907,0
10104534,1
10105484,0
10110712,0
10112766,0
10112782,0
10113916,0
10115129,0
10116320,0
10117520,1
10119787,1
10125787,0
10127470,1
10127810,1
10128115,1
10129170,0
10133690,0
10135090,1
1013964,1
10142460,0
10143653,1
10144463,1
10145249,1
10146466,0
10147373,0
10149619,0
10150811,0
10150854,1
10152920,1
10154841,0
10156780,0
10157859,1
10159479,0
10160299,0
1016089,1
10161,0
10164170,0
10165118,0
10166360,0
10167730,0
10171428,0
10171550,0
10173323,1
10173692,0
10179070,1
10180133,1
1018136,1
10181717,0
10181806,1
10183779,1
10184988,0
10185500,1
10185542,1
10189882,0
10190210,1
10191704,1
10195777,0
10196641,1
10197621,0
10200800,1
10203150,1
10203770,0
10206426,0
10212159,1
10213643,0
10214399,1
10215808,1
10215964,1
10217266,1
10217320,1
10218386,0
10219994,0
10220445,0
10221948,0
10225315,0
10227334,1
10229515,0
10229795,0
10230530,1
10231544,1
10233520,0
10236635,1
10236910,0
10238107,0
10238735,0
10239308,0
102411,1
10241485,1
10244107,1
10244344,1
10247874,0
10251472,1
10251740,0
10253009,1
10254544,0
10255516,0
10256067,0
10256750,1
1025981,1
1026304,0
10266232,0
10269045,1
10269347,0
10270434,0
10270841,1
10274421,0
10277153,1
10280812,0
10282130,0
10284257,1
10286748,0
1028727,1
10287817,1
10290850,0
10293205,0
10293833,1
10296000,1
10296174,0
10297014,0
10300171,0
10300872,1
10300929,1
10301380,1
10301798,0
10304762,0
10304860,1
10310959,1
10315454,0
1031686,0
10318844,0
10320431,1
10320938,1
10321098,1
10321659,0
10324038,1
10324470,0
10325042,0
10325310,0
1032585,0
10328009,1
10328084,0
10328866,0
10332219,1
10342656,1
10344470,0
10345191,1
10345779,0
10347330,1
10347500,1
10347623,0
10348123,1
10348638,0
10356452,0
10361170,1
10363050,0
10363696,0
10364811,1
10365753,1
10366636,1
10368221,0
10368647,0
10369309,1
10370145,1
10370277,0
10370420,0
10371850,1
10373349,0
10374264,0
1037675,1
10377174,0
10379754,1
10382194,0
10382704,1
10383778,1
10385282,1
10385509,0
10385835,0
10396705,0
10397663,0
10399208,1
10399542,1
10400400,0
10401610,1
10403388,0
1040569,0
10406778,0
10407243,0
10409726,0
10410309,0
10411585,1
10412271,0
10413189,1
10413588,0
10414126,1
10415807,0
10417630,0
10417842,0
10419101,0
10419802,0
10420401,0
10421769,0
10422951,1
10423826,0
10424920,1
10428267,1
10428640,1
10428836,0
10430075,1
10430261,0
1043326,0
10433384,0
10434178,0
104356,0
10435913,0
10436219,0
10436740,0
10437282,1
10438033,0
10439412,1
10440844,0
10441573,1
10443169,1
10444661,0
10444874,1
10445455,0
10446575,1
10447695,1
10448160,0
10448560,0
10448640,1
10449388,1
10449485,0
10451030,0
1045107,0
10451668,1
10452257,1
10452842,0
10454900,0
10456589,0
10460217,0
10460527,1
10460845,0
10463070,0
10463461,1
10465111,1
10466754,1
10468145,1
10469133,0
10469354,0
10469389,0
10473548,1
10474633,1
10477390,1
10481192,0
10482776,1
10484531,0
10485252,0
10495894,0
10497668,0
10497714,0
10498214,0
10499415,1
10500332,0
10500669,0
10500987,1
10503803,1
10504028,0
10504400,1
10506233,0
10506390,1
10506756,0
10508139,0
10508384,0
10508562,1
10512187,1
10512420,1
10512616,1
10517014,1
10517049,0
10518339,0
10519823,1
10519998,1
10524193,0
10525254,0
10526501,1
10528113,1
10530835,0
10531556,1
10532374,0
10532625,0
10533974,1
10534776,1
105356,1
10538550,0
10539930,0
10542302,1
1054618,1
10548645,0
1055054,0
10553029,0
10553479,1
10553657,1
10554025,0
10554580,0
10554955,0
10557253,1
10559507,1
10561153,0
10562354,0
10562508,0
10564454,1
1056905,1
10569448,0
10569650,0
10569847,1
10570160,0
10571167,0
10572503,1
10575286,0
10578013,1
10580271,1
10580352,0
10583220,0
10587233,0
10588140,1
10590820,0
10591206,1
10592253,1
10594027,0
10598430,0
10600655,0
10600981,1
10605738,0
10606793,1
10607900,0
10608524,0
10609180,0
10609938,1
10610073,0
1061056,0
10610804,0
10612742,0
10615024,0
10615148,0
10616632,1
10618066,1
10620036,0
10620109,1
10620583,0
10628894,0
10629009,0
10631950,1
10632220,0
10633332,1
10637818,0
10639047,1
10639543,0
10640843,0
10641076,1
10642129,0
10642900,1
10643613,0
10644245,0
10644512,1
10647848,1
10648950,0
10649506,1
10652213,1
10652566,0
10652876,1
10653430,1
10654437,0
10654968,0
10655581,1
10658840,1
1066038,0
10660844,0
10660941,0
10661751,0
10662707,1
10663584,1
10663827,0
10665463,1
10665650,1
10668004,0
10674900,1
10677151,0
10677909,1
10678883,1
10680233,1
10680357,0
10680802,1
1068157,0
1068245,1
10682481,0
10682600,0
10683780,0
10684751,1
10685847,1
10686606,0
10686835,1
1068822,0
10690271,0
10690883,1
10696687,0
10697373,1
10697950,0
10698353,0
10698620,0
10700641,1
10700722,0
1070353,0
10706178,0
10708510,1
10708880,1
10709142,1
10710205,1
10711171,0
10712313,1
10715118,0
1071697,0
10717943,1
10719458,0
10719709,1
10722335,1
10723153,1
10723846,0
10724249,0
10725121,0
10727086,0
10728686,0
10730702,1
10731075,0
10731415,1
10734813,0
10735747,1
10737359,0
10737936,1
10739823,0
107420,0
10743855,1
10744959,1
10745319,1
10749497,0
10749527,0
1075064,0
10751432,0
10753281,0
10755128,0
10755683,0
10756949,0
10761217,0
10761764,0
10761934,0
10762000,0
10767606,0
10768661,1
10768912,0
10770038,0
10770151,0
10771018,0
10771735,0
10773142,1
10773550,1
10775439,0
10777261,1
10779205,1
10783083,0
10785558,1
10789847,0
10792724,0
10792872,0
10793321,1
10795235,1
10796584,0
10797394,1
10798447,0
10803327,0
10806601,1
10806849,0
10813152,0
10813357,0
10815791,0
10816496,0
10816828,0
10821341,1
10821465,0
10823417,0
10825320,1
10826114,0
10826246,0
10830286,1
10831045,0
10833862,1
10840818,1
10841350,0
1084221,0
10842357,0
10842888,0
10843809,0
10844724,0
10845461,0
10846131,1
10846433,0
10846590,0
10847138,0
10848541,1
10849041,0
10852131,0
1085471,0
10857168,1
10857885,1
10866973,1
10867902,0
10868380,0
10871080,0
10877223,0
10878904,0
10879773,0
