,IDADE,RENDA_TITULAR,CLASS,ESTADO_CIVIL_CO,ESTADO_CIVIL_SE,ESTADO_CIVIL_SO,ESTADO_CIVIL_VI,CATEGORIAL_PROFISSAO_APOSENTADO,CATEGORIAL_PROFISSAO_ASSALARIADO,CATEGORIAL_PROFISSAO_AUT+NOMO,CATEGORIAL_PROFISSAO_LIBERAL,TIPO_RESIDENCIA_FA,TIPO_RESIDENCIA_FI,TIPO_RESIDENCIA_OU,TIPO_RESIDENCIA_PR,TIPO_RESIDENCIA_SM
0,63,2300.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,51,1500.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2,30,1000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
3,65,1050.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
4,62,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6,49,1555.49,1,0,0,1,0,0,1,0,0,0,0,0,1,0
7,43,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
8,38,2500.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
9,49,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
11,50,800.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,47,937.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
13,58,900.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
14,36,1111.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
15,49,4900.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
16,52,1700.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
18,56,1940.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
19,43,1775.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
20,53,900.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
21,25,2243.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
22,40,2269.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
23,52,1200.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
24,31,1400.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
25,65,1380.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
26,41,2300.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
27,69,937.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
29,68,2496.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
30,41,2360.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
32,57,570.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
33,53,2300.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
35,66,2200.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
36,29,1300.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
37,50,1900.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
38,24,1140.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
39,68,937.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
40,38,2100.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
41,55,937.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
42,46,1911.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
43,37,1700.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
44,43,974.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
45,30,550.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
47,21,845.9,1,0,0,1,0,0,1,0,0,0,0,1,0,0
48,63,1000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
50,26,1800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
51,52,5000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
53,25,3000.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
55,21,1650.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
56,40,2133.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
61,34,4838.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
63,23,1733.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
64,29,1400.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
65,30,1800.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
66,58,1550.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
67,25,1800.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
68,21,1200.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
69,30,1230.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
70,21,1100.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
71,28,1100.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
72,57,3500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
73,37,7000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
74,22,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
76,36,1447.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
77,22,1218.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
79,72,880.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
81,71,841.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
83,21,1166.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
84,23,1362.51,1,0,0,1,0,0,1,0,0,0,0,1,0,0
85,27,2500.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
86,26,1127.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
87,53,1600.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
88,21,1134.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
89,37,2000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90,70,788.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
91,41,1038.74,1,1,0,0,0,0,1,0,0,0,0,0,1,0
92,37,1800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
93,54,990.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
94,23,1500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
95,35,1800.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
97,42,880.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
98,55,3800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
99,37,3520.1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
100,25,1300.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
101,21,810.01,1,0,0,1,0,0,1,0,0,0,0,1,0,0
102,65,1150.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
104,51,2500.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
105,20,1014.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
106,45,1200.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
107,33,1878.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
108,36,980.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
